"year","postseason","team","conf","seed","wab","barthag","adjoe","adjde","efg_o","3p_o","tor","orb","drb"
2013,"S16","Indiana","B10",1,"7.8","0.9692","121.0","89.7","54.7","40.3","19.3","39.0","31.4"
2013,"S16","Kansas","B12",1,"7.5","0.9514","111.6","86.2","53.3","36.4","20.3","33.8","29.3"
2013,"R32","Gonzaga","WCC",1,"7.6","0.9599","118.9","90.2","54.9","36.5","17.2","37.8","29.8"
2013,"Champions","Louisville","BE",1,"9.0","0.9743","115.9","84.5","50.6","33.3","18.3","38.2","33.3"
2013,"E8","Ohio St.","B10",2,"7.2","0.9406","113.6","89.4","50.6","35.6","16.2","31.8","28.2"
2013,"E8","Duke","ACC",2,"7.5","0.9507","118.4","91.5","53.9","39.9","15.6","28.8","32.3"
2013,"R64","Georgetown","BE",2,"6.6","0.9381","107.6","85.0","51.1","35.3","20.1","30.4","31.0"
2013,"S16","Miami FL","ACC",2,"6.3","0.9207","112.4","90.8","51.9","36.2","16.7","31.3","28.4"
2013,"E8","Florida","SEC",3,"4.1","0.9694","115.7","85.7","55.2","37.8","17.8","34.2","28.4"
2013,"R64","New Mexico","MWC",3,"6.9","0.8641","107.0","91.1","48.4","35.1","17.6","29.3","27.6"
2013,"S16","Michigan St.","B10",3,"6.7","0.9392","111.4","87.8","50.6","34.1","20.8","36.1","27.6"
2013,"E8","Marquette","BE",3,"4.5","0.9020","113.0","93.2","49.6","29.6","20.9","38.4","33.1"
2013,"2ND","Michigan","B10",4,"6.2","0.9522","121.5","93.7","54.6","37.9","14.6","32.5","29.4"
2013,"R64","Kansas St.","B12",4,"5.4","0.8896","113.4","94.5","49.1","35.8","18.2","38.5","33.8"
2013,"R32","Saint Louis","A10",4,"3.8","0.9181","108.0","87.5","50.4","34.0","17.6","27.9","29.1"
2013,"F4","Syracuse","BE",4,"5.1","0.9533","113.0","87.0","49.0","33.4","18.9","38.8","34.5"
2013,"R32","VCU","A10",5,"2.6","0.9195","113.8","92.1","51.3","35.1","16.9","36.6","34.7"
2013,"R64","Oklahoma St.","B12",5,"3.2","0.8983","107.1","88.6","48.8","31.6","18.2","31.3","30.8"
2013,"R64","UNLV","MWC",5,"1.8","0.8749","104.7","88.4","48.9","32.6","20.2","33.3","27.1"
2013,"R64","Wisconsin","B10",5,"4.6","0.9406","107.2","84.3","48.6","33.0","15.7","32.6","26.9"
2013,"R32","Butler","A10",6,"4.7","0.8624","109.2","93.0","50.7","34.3","20.2","35.9","26.3"
2013,"R32","Memphis","CUSA",6,"4.5","0.8672","106.1","90.2","52.4","37.2","20.7","35.6","31.1"
2013,"R64","UCLA","P12",6,"3.3","0.8475","110.0","94.8","49.1","33.3","15.8","30.7","34.0"
2013,"S16","Arizona","P12",6,"4.6","0.9229","114.4","92.2","52.5","37.1","19.5","35.0","26.7"
2013,"R32","San Diego St.","MWC",7,"0.4","0.8752","106.0","89.5","48.5","32.7","18.1","31.8","27.9"
2013,"R64","Notre Dame","BE",7,"3.9","0.8748","112.9","95.4","52.2","37.0","17.6","34.0","29.5"
2013,"R32","Illinois","B10",7,"2.4","0.8749","109.8","92.7","47.5","31.7","17.6","33.6","33.0"
2013,"R32","Creighton","MVC",7,"3.5","0.9117","116.4","95.0","58.2","41.4","18.9","28.8","27.2"
2013,"R64","Pittsburgh","BE",8,"3.1","0.9217","112.8","91.1","51.7","34.9","18.1","40.4","30.0"
2013,"R32","North Carolina","ACC",8,"2.5","0.8902","111.6","93.0","49.3","37.2","17.2","34.6","31.6"
2013,"R64","North Carolina St.","ACC",8,"2.2","0.8650","115.2","98.0","54.2","39.1","18.0","34.7","32.6"
2013,"R32","Colorado St.","MWC",8,"1.9","0.8759","116.6","98.4","49.2","34.1","17.2","41.4","23.2"
2013,"F4","Wichita St.","MVC",9,"2.2","0.9045","110.6","91.0","50.0","33.9","19.4","38.0","26.5"
2013,"R32","Temple","A10",9,"1.5","0.8220","110.7","96.9","49.0","32.8","15.9","30.8","31.4"
2013,"R64","Missouri","SEC",9,"1.2","0.8815","113.3","95.2","51.2","33.9","18.9","38.7","28.6"
2013,"R64","Villanova","BE",9,"0.3","0.8507","105.3","90.5","47.3","33.2","22.9","33.1","29.5"
2013,"R64","Oklahoma","B12",10,"0.3","0.8391","110.3","95.6","47.8","32.3","17.5","33.2","31.5"
2013,"R32","Iowa St.","B12",10,"0.7","0.8828","117.2","98.3","53.8","37.4","18.5","34.2","28.5"
2013,"R64","Cincinnati","BE",10,"1.7","0.8730","104.5","88.3","46.2","31.6","19.4","38.7","29.8"
2013,"R64","Colorado","P12",10,"1.4","0.8513","104.9","90.2","48.3","34.4","20.0","33.6","30.4"
2013,"R64","Belmont","OVC",11,"0.1","0.8064","108.9","96.2","56.5","37.2","19.6","29.7","34.2"
2013,"R64","Bucknell","Pat",11,"1.0","0.7936","104.7","93.1","49.6","35.8","15.1","29.3","24.3"
2013,"R64","Saint Mary's","WCC",11,"2.5","0.8910","113.9","94.9","53.7","37.3","18.3","36.9","25.0"
2013,"R68","Middle Tennessee","SB",11,"0.7","0.8396","105.1","91.0","51.1","37.7","20.7","36.5","29.0"
2013,"R32","Minnesota","B10",11,"2.1","0.9050","112.6","92.5","49.3","33.7","21.6","43.6","33.2"
2013,"S16","Oregon","P12",12,"2.9","0.8728","104.8","88.6","49.3","33.3","21.4","35.8","27.2"
2013,"R32","California","P12",12,"0.5","0.8211","105.4","92.3","48.0","30.2","18.9","32.5","30.7"
2013,"R32","Mississippi","SEC",12,"1.6","0.8340","110.0","95.6","49.1","32.4","15.9","34.1","31.8"
2013,"R64","Akron","MAC",12,"0.3","0.7402","103.4","94.4","51.0","32.7","20.8","37.6","30.5"
2013,"R64","Montana","BSky",13,"-1.4","0.4929","101.6","101.8","52.9","36.4","19.1","25.1","30.5"
2013,"R68","Boise St.","MWC",13,"-0.2","0.8332","112.0","97.4","51.8","38.7","18.4","30.3","24.4"
2013,"S16","La Salle","A10",13,"0.3","0.8516","112.0","96.2","51.9","37.7","17.1","29.0","34.2"
2013,"R64","South Dakota St.","Sum",13,"-3.2","0.6573","109.7","103.7","53.3","38.9","16.4","28.9","26.1"
2013,"R64","New Mexico St.","WAC",13,"-3.1","0.6992","102.5","95.3","49.3","31.8","21.9","36.9","29.8"
2013,"R64","Davidson","SC",14,"-1.4","0.7959","110.6","98.3","53.1","36.6","17.0","29.0","28.5"
2013,"R32","Harvard","Ivy",14,"-2.6","0.6362","104.9","99.9","54.3","39.8","20.8","25.6","31.4"
2013,"R64","Northwestern St.","Slnd",14,"-3.2","0.5730","104.8","102.1","49.0","31.0","19.2","34.8","37.3"
2013,"R64","Valparaiso","Horz",14,"-0.8","0.7514","107.8","97.9","55.7","37.1","21.8","31.2","28.2"
2013,"R64","Albany","AE",15,"-4.5","0.5722","101.2","98.7","49.6","37.0","21.2","31.7","28.2"
2013,"S16","Florida Gulf Coast","ASun",15,"-4.0","0.6952","103.4","96.3","51.6","33.4","21.0","32.5","32.8"
2013,"R64","Iona","MAAC",15,"-5.9","0.6956","112.8","105.0","52.1","36.7","17.1","32.8","33.4"
2013,"R64","Pacific","BW",15,"-5.1","0.5991","104.7","101.1","50.5","38.9","17.8","29.2","30.8"
2013,"R64","North Carolina A&T","MEAC",16,"-11.5","0.3459","90.6","95.7","45.7","30.7","22.7","29.8","33.2"
2013,"R68","LIU Brooklyn","NEC",16,"-8.6","0.4195","108.1","111.2","54.4","38.0","20.3","35.2","33.5"
2013,"R64","Southern","SWAC",16,"-5.7","0.4750","95.9","96.7","49.1","36.7","16.8","26.2","31.1"
2013,"R64","James Madison","CAA",16,"-8.9","0.4736","98.5","99.4","47.6","33.6","17.2","29.6","31.1"
2013,"R68","Liberty","BSth",16,"-15.6","0.2591","100.1","109.7","48.5","37.0","19.8","29.0","32.6"
2013,"R64","Western Kentucky","SB",16,"-8.4","0.4895","100.1","100.4","48.6","32.7","22.2","34.8","30.7"
2014,"S16","Virginia","ACC",1,"8.2","0.9449","114.6","89.5","50.8","36.9","16.5","33.9","25.8"
2014,"R32","Wichita St.","MVC",1,"8.1","0.9295","116.4","93.0","52.4","35.0","16.2","35.0","26.2"
2014,"E8","Arizona","P12",1,"9.4","0.9636","116.2","87.4","51.7","36.4","15.7","36.4","27.3"
2014,"F4","Florida","SEC",1,"11.7","0.9575","115.9","88.4","52.2","35.9","17.5","35.3","28.0"
2014,"R32","Villanova","BE",2,"8.3","0.9260","115.2","92.5","53.6","35.6","17.3","32.6","28.7"
2014,"F4","Wisconsin","B10",2,"7.9","0.9441","122.7","95.9","53.3","37.6","12.7","28.1","27.4"
2014,"R32","Kansas","B12",2,"6.9","0.9270","119.2","95.6","54.2","34.0","19.1","37.3","28.8"
2014,"E8","Michigan","B10",2,"7.7","0.9295","125.0","99.9","55.7","40.2","14.8","29.4","30.5"
2014,"R32","Syracuse","ACC",3,"7.9","0.9156","114.2","92.8","48.2","33.1","14.8","38.1","31.5"
2014,"R32","Creighton","BE",3,"5.6","0.9144","125.2","101.9","58.9","41.4","15.0","27.7","27.8"
2014,"R64","Duke","ACC",3,"6.5","0.9432","125.9","98.6","53.8","39.5","14.6","35.2","31.3"
2014,"S16","Iowa St.","B12",3,"7.5","0.8903","118.6","98.8","54.2","35.8","14.5","28.8","28.5"
2014,"E8","Michigan St.","B10",4,"6.9","0.9319","119.6","95.3","54.5","39.2","17.4","32.9","27.5"
2014,"S16","UCLA","P12",4,"4.5","0.9167","119.0","96.6","54.1","38.0","14.5","29.8","28.6"
2014,"S16","San Diego St.","MWC",4,"6.0","0.8960","109.4","90.7","46.7","34.2","15.2","36.1","29.4"
2014,"S16","Louisville","Amer",4,"5.3","0.9710","118.8","87.6","53.5","36.8","15.3","37.1","32.7"
2014,"R64","Oklahoma","B12",5,"4.1","0.8793","118.2","99.4","51.7","37.9","15.7","32.4","30.4"
2014,"R64","VCU","A10",5,"3.6","0.8955","108.3","89.8","47.9","34.9","17.2","34.9","30.8"
2014,"R64","Cincinnati","Amer",5,"5.3","0.8783","108.7","91.5","47.7","33.5","17.4","39.1","32.3"
2014,"R32","Saint Louis","A10",5,"3.8","0.8477","104.9","90.4","49.6","31.7","18.6","28.8","29.0"
2014,"R32","North Carolina","ACC",6,"4.2","0.8883","113.4","94.7","49.9","33.6","16.9","38.1","31.3"
2014,"S16","Baylor","B12",6,"3.1","0.8885","119.2","99.5","51.3","38.0","17.8","40.1","32.0"
2014,"R64","Massachusetts","A10",6,"3.6","0.7952","109.0","96.9","50.4","34.6","18.8","34.3","31.7"
2014,"R64","Ohio St.","B10",6,"4.5","0.9107","108.4","88.5","50.3","32.4","17.2","29.6","29.6"
2014,"R32","Texas","B12",7,"3.6","0.8507","112.4","96.7","47.4","32.7","17.5","39.6","30.2"
2014,"R32","Oregon","P12",7,"2.6","0.8720","118.1","100.0","53.5","38.9","16.1","32.2","31.9"
2014,"Champions","Connecticut","Amer",7,"4.7","0.9171","112.5","91.3","51.5","38.7","17.3","30.4","32.8"
2014,"R64","New Mexico","MWC",7,"4.4","0.8693","112.8","95.7","51.1","33.2","15.9","32.5","28.2"
2014,"R32","Memphis","Amer",8,"2.8","0.8479","112.6","97.0","51.9","33.0","18.6","35.8","33.3"
2014,"2ND","Kentucky","SEC",8,"3.9","0.9062","117.2","96.2","49.9","33.2","18.1","42.0","29.7"
2014,"R32","Gonzaga","WCC",8,"4.0","0.9064","113.6","93.3","55.2","39.0","17.4","30.6","29.5"
2014,"R64","Colorado","P12",8,"2.4","0.7740","106.9","96.0","48.3","31.8","19.7","34.0","26.1"
2014,"R64","Oklahoma St.","B12",9,"1.4","0.9067","115.6","94.8","52.4","36.4","14.7","28.0","32.0"
2014,"R32","Pittsburgh","ACC",9,"4.1","0.9261","117.1","94.0","50.7","35.1","16.3","37.2","29.0"
2014,"R64","Kansas St.","B12",9,"0.5","0.8473","107.9","92.9","48.8","33.1","18.5","34.7","33.2"
2014,"R64","BYU","WCC",10,"0.6","0.8078","113.8","100.5","50.6","36.9","15.3","34.9","28.6"
2014,"R64","Arizona St.","P12",10,"1.2","0.8252","110.3","96.4","52.4","39.0","16.3","24.5","30.2"
2014,"R64","Saint Joseph's","A10",10,"2.1","0.8546","113.8","97.5","53.9","37.9","18.7","29.5","27.8"
2014,"S16","Stanford","P12",10,"1.1","0.8436","111.7","96.5","51.3","36.4","17.0","29.3","28.1"
2014,"S16","Tennessee","SEC",11,"0.4","0.9374","118.1","93.4","49.8","31.9","16.8","39.7","27.5"
2014,"R64","George Washington","A10",11,"3.2","0.8151","110.2","96.8","51.5","36.4","19.0","35.1","31.4"
2014,"R64","Nebraska","B10",11,"1.3","0.8172","108.2","95.0","48.3","33.3","16.7","25.7","29.0"
2014,"R68","Iowa","B10",11,"1.2","0.9089","121.2","99.2","51.1","35.0","15.9","37.6","29.0"
2014,"R64","Providence","BE",11,"1.2","0.8249","114.9","100.4","48.3","34.7","17.3","35.3","30.8"
2014,"E8","Dayton","A10",11,"0.6","0.8188","113.0","99.1","52.4","37.7","18.1","33.9","28.8"
2014,"R32","North Dakota St.","Sum",12,"0.2","0.7613","113.9","103.0","54.5","34.7","15.6","30.6","27.9"
2014,"R68","Xavier","BE",12,"1.4","0.7965","112.0","99.5","51.7","34.8","18.7","34.1","28.7"
2014,"R32","Harvard","Ivy",12,"2.2","0.8641","111.9","95.2","52.1","38.6","17.6","32.3","29.3"
2014,"R32","Stephen F. Austin","Slnd",12,"1.7","0.7527","112.0","101.6","52.3","34.9","16.9","38.2","28.9"
2014,"R64","North Carolina St.","ACC",12,"0.6","0.8066","114.8","101.4","50.0","30.5","15.8","34.1","35.6"
2014,"R64","New Mexico St.","WAC",13,"-2.3","0.7385","111.6","102.0","53.2","36.1","18.7","37.7","33.0"
2014,"R64","Delaware","CAA",13,"-1.4","0.6237","110.7","106.0","50.4","34.7","13.4","29.1","32.8"
2014,"R64","Manhattan","MAAC",13,"-0.5","0.7519","106.2","96.4","50.7","36.9","19.7","34.4","33.3"
2014,"R64","Tulsa","CUSA",13,"-3.6","0.7537","105.6","95.8","49.2","32.7","16.7","30.2","29.6"
2014,"R64","Louisiana Lafayette","SB",14,"-3.8","0.6557","110.5","104.5","51.5","37.1","18.8","36.5","31.8"
2014,"R32","Mercer","ASun",14,"-2.8","0.6993","109.6","101.8","54.0","38.8","17.5","32.0","31.1"
2014,"R64","Western Michigan","MAC",14,"-2.9","0.5605","104.7","102.5","52.0","32.6","20.9","31.0","32.0"
2014,"R64","North Carolina Central","MEAC",14,"-0.6","0.7018","107.9","100.2","50.2","32.5","17.2","35.4","33.1"
2014,"R64","Wofford","SC",15,"-6.5","0.4275","99.7","102.2","48.8","34.6","16.4","30.9","29.0"
2014,"R64","Eastern Kentucky","OVC",15,"-3.3","0.6177","112.1","107.5","56.7","38.6","15.8","23.0","34.0"
2014,"R64","Milwaukee","Horz",15,"-6.1","0.5123","104.3","103.9","49.1","32.7","19.9","28.6","31.2"
2014,"R64","American","Pat",15,"-5.5","0.6178","101.8","97.7","55.8","37.9","23.1","26.5","29.7"
2014,"R64","Cal Poly","BW",16,"-10.7","0.4356","102.0","104.4","46.0","33.0","14.7","30.9","33.2"
2014,"R64","Coastal Carolina","BSth",16,"-7.7","0.3946","98.3","102.0","48.0","32.6","20.2","34.2","29.3"
2014,"R68","Mount St. Mary's","NEC",16,"-9.4","0.3986","107.1","111.0","51.5","35.5","16.7","27.8","33.0"
2014,"R64","Albany","AE",16,"-8.6","0.4900","102.8","103.1","48.8","36.0","19.7","31.9","28.4"
2014,"R68","Texas Southern","SWAC",16,"-9.7","0.3293","106.1","112.9","51.7","35.8","19.3","33.6","31.2"
2014,"R64","Weber St.","BSky",16,"-6.9","0.4831","106.0","106.6","54.1","39.4","19.0","28.4","28.7"
2015,"F4","Kentucky","SEC",1,"13.1","0.9842","120.3","84.0","51.5","34.9","16.3","39.5","31.8"
2015,"2ND","Wisconsin","B10",1,"11.3","0.9758","129.1","93.6","54.8","36.5","12.4","32.1","23.7"
2015,"Champions","Duke","ACC",1,"10.7","0.9764","125.2","90.6","56.6","38.7","16.3","35.8","30.2"
2015,"R32","Villanova","BE",1,"11.3","0.9663","121.9","91.1","55.3","38.9","16.3","32.5","31.2"
2015,"R32","Virginia","ACC",2,"10.0","0.9648","112.1","84.1","50.6","35.2","15.7","34.3","24.2"
2015,"E8","Gonzaga","WCC",2,"7.8","0.9498","120.2","93.1","57.9","40.0","16.1","33.9","28.0"
2015,"R32","Kansas","B12",2,"9.0","0.9308","113.6","90.6","49.4","37.9","19.2","34.9","31.6"
2015,"E8","Arizona","P12",2,"9.0","0.9700","117.5","86.9","53.5","36.0","16.5","34.5","22.4"
2015,"S16","Oklahoma","B12",3,"4.5","0.9349","111.6","88.5","49.3","34.3","17.6","31.5","31.4"
2015,"E8","Notre Dame","ACC",3,"8.6","0.9401","125.3","98.6","58.3","39.0","14.5","27.9","32.2"
2015,"R64","Iowa St.","B12",3,"7.0","0.9103","116.9","95.6","54.3","36.2","15.8","28.3","29.6"
2015,"R64","Baylor","B12",3,"5.0","0.9316","116.3","92.7","49.8","38.2","20.1","41.9","31.5"
2015,"E8","Louisville","ACC",4,"5.8","0.9290","109.4","87.4","47.7","30.7","17.2","34.7","30.8"
2015,"R32","Georgetown","BE",4,"3.7","0.8945","112.6","93.5","51.3","35.3","19.2","34.3","31.0"
2015,"R32","Maryland","B10",4,"6.9","0.8619","110.2","94.0","51.2","37.6","18.9","28.9","30.5"
2015,"S16","North Carolina","ACC",4,"6.5","0.9507","119.6","92.5","51.6","35.8","18.2","40.0","31.2"
2015,"R32","Northern Iowa","MVC",5,"5.3","0.9228","115.4","93.0","55.9","39.8","17.8","27.0","26.9"
2015,"S16","West Virginia","B12",5,"4.1","0.8733","110.3","93.3","46.1","31.6","18.7","40.1","31.1"
2015,"S16","Utah","P12",5,"3.7","0.9513","114.9","88.7","55.2","40.1","18.2","31.3","28.4"
2015,"R32","Arkansas","SEC",5,"3.9","0.8696","113.2","96.0","50.0","34.9","16.9","35.7","34.6"
2015,"S16","Xavier","BE",6,"1.3","0.9049","115.7","95.1","53.3","35.1","18.1","31.3","27.3"
2015,"R64","SMU","Amer",6,"3.1","0.8635","111.1","94.6","52.1","36.3","19.5","36.6","29.2"
2015,"R32","Butler","BE",6,"3.5","0.9115","108.5","88.6","48.4","35.6","17.0","34.7","25.3"
2015,"R64","Providence","BE",6,"3.7","0.8821","111.6","93.7","48.4","31.3","18.1","35.2","29.0"
2015,"S16","Wichita St.","MVC",7,"4.2","0.9277","114.3","91.5","50.3","35.4","15.0","34.5","27.4"
2015,"F4","Michigan St.","B10",7,"3.0","0.9327","116.3","92.6","53.2","38.5","17.5","33.5","27.0"
2015,"R32","Iowa","B10",7,"2.1","0.9211","114.0","92.0","48.1","33.3","17.1","35.6","30.3"
2015,"R64","VCU","A10",7,"3.0","0.8373","108.4","94.0","48.7","34.3","15.7","31.8","30.6"
2015,"S16","North Carolina St.","ACC",8,"1.1","0.8684","114.1","96.8","49.3","35.6","16.0","33.9","30.2"
2015,"R32","Cincinnati","Amer",8,"-1.3","0.8380","106.5","92.3","49.5","32.9","21.0","37.3","32.3"
2015,"R32","Oregon","P12",8,"3.0","0.8379","114.3","99.1","52.3","36.9","16.9","30.2","31.5"
2015,"R32","San Diego St.","MWC",8,"1.3","0.8691","103.1","87.5","46.6","32.0","18.6","35.7","29.7"
2015,"R64","St. John's","BE",9,"2.3","0.8569","110.6","94.7","49.3","34.5","15.7","27.6","35.4"
2015,"R64","LSU","SEC",9,"0.5","0.8477","107.8","92.8","50.3","33.9","20.2","33.9","32.9"
2015,"R64","Purdue","B10",9,"1.0","0.8654","110.5","93.9","50.3","32.7","19.9","36.5","30.9"
2015,"R64","Oklahoma St.","B12",9,"0.2","0.8469","110.7","95.4","50.2","34.6","18.5","26.9","32.6"
2015,"R64","Davidson","A10",10,"1.7","0.8435","118.3","102.2","55.4","38.7","14.1","29.6","30.4"
2015,"R64","Indiana","B10",10,"-0.3","0.8473","119.5","103.0","54.4","40.6","17.2","35.3","31.5"
2015,"R32","Ohio St.","B10",10,"2.5","0.9104","113.9","93.1","54.2","37.0","17.0","33.5","32.0"
2015,"R64","Georgia","SEC",10,"1.6","0.8482","107.6","92.6","48.5","34.2","19.2","32.2","28.5"
2015,"R68","BYU","WCC",11,"0.8","0.8699","118.3","100.3","53.2","39.0","16.4","33.4","28.4"
2015,"R64","Mississippi","SEC",11,"-0.5","0.8037","112.2","99.2","47.8","33.2","16.5","34.8","31.4"
2015,"R68","Boise St.","MWC",11,"0.2","0.8210","109.5","96.0","53.2","38.9","16.1","27.8","25.6"
2015,"S16","UCLA","P12",11,"0.0","0.8425","111.8","96.6","49.6","36.8","17.6","33.8","28.6"
2015,"R32","Dayton","A10",11,"0.8","0.8059","107.0","94.5","52.9","35.6","17.9","23.3","28.4"
2015,"R64","Texas","B12",11,"0.9","0.9048","110.3","90.7","49.1","33.8","20.1","37.9","28.6"
2015,"R64","Stephen F. Austin","Slnd",12,"1.2","0.7919","111.0","98.8","55.6","37.3","20.3","37.6","29.6"
2015,"R64","Wyoming","MWC",12,"-1.6","0.6121","102.1","98.2","52.2","32.6","18.8","22.0","27.0"
2015,"R64","Buffalo","MAC",12,"-1.3","0.7742","109.1","98.0","48.7","34.1","16.7","34.5","30.4"
2015,"R64","Wofford","SC",12,"0.2","0.6547","102.3","96.8","51.1","36.8","17.2","29.4","27.7"
2015,"R64","Eastern Washington","BSky",13,"-2.6","0.5648","110.1","107.6","55.1","39.3","15.9","29.3","30.7"
2015,"R64","UC Irvine","BW",13,"-4.6","0.7202","105.1","96.8","50.7","38.2","18.2","30.0","30.7"
2015,"R64","Harvard","Ivy",13,"-1.3","0.7057","102.4","94.9","47.1","34.3","18.4","32.4","28.4"
2015,"R64","Valparaiso","Horz",13,"0.1","0.7706","105.0","94.5","51.3","38.4","19.0","34.7","27.4"
2015,"R64","Northeastern","CAA",14,"-4.6","0.6586","107.0","101.0","54.5","38.6","21.5","30.1","25.3"
2015,"R32","UAB","CUSA",14,"-7.5","0.5721","102.7","100.1","47.6","33.2","20.1","34.2","33.1"
2015,"R32","Georgia St.","SB",14,"-3.0","0.7802","109.5","98.0","52.0","32.2","16.3","30.0","34.8"
2015,"R64","Albany","AE",14,"-3.3","0.5749","104.9","102.2","49.9","35.8","18.8","32.6","26.0"
2015,"R64","Belmont","OVC",15,"-4.7","0.5497","108.7","106.8","56.5","37.7","20.3","28.9","29.6"
2015,"R64","North Dakota St.","Sum",15,"-3.9","0.5035","100.8","100.7","49.7","38.2","16.0","26.1","23.7"
2015,"R64","Texas Southern","SWAC",15,"-4.5","0.3371","101.9","108.1","49.5","32.2","19.7","33.8","34.6"
2015,"R64","New Mexico St.","WAC",15,"-4.5","0.6613","103.9","98.1","50.6","36.2","21.8","39.3","31.0"
2015,"R64","Lafayette","Pat",16,"-7.1","0.3839","109.8","114.5","55.8","40.8","17.1","27.7","34.5"
2015,"R64","Coastal Carolina","BSth",16,"-5.1","0.5417","104.5","103.0","50.0","35.9","17.5","34.8","28.0"
2015,"R64","Hampton","MEAC",16,"-12.6","0.2939","94.8","102.3","45.6","30.4","20.2","31.8","30.9"
2015,"R64","Robert Morris","NEC",16,"-8.6","0.4286","100.7","103.3","50.1","37.5","19.8","31.0","35.9"
2015,"R68","North Florida","ASun",16,"-5.1","0.5063","105.2","105.0","53.6","38.1","18.3","29.2","31.8"
2015,"R68","Manhattan","MAAC",16,"-7.6","0.5238","100.2","99.4","49.4","33.6","21.1","30.9","33.1"
2016,"2ND","North Carolina","ACC",1,"8.6","0.9531","123.3","94.9","52.6","32.7","15.4","40.7","30.0"
2016,"E8","Kansas","B12",1,"11.6","0.9662","120.9","90.4","55.7","41.3","17.8","32.2","27.9"
2016,"E8","Virginia","ACC",1,"8.6","0.9600","119.9","91.0","54.8","40.3","15.1","29.9","25.2"
2016,"E8","Oregon","P12",1,"6.7","0.9163","118.4","96.2","52.3","34.4","16.1","34.1","30.5"
2016,"R32","Xavier","BE",2,"7.7","0.9229","117.0","94.3","51.4","36.3","17.4","35.2","26.0"
2016,"R64","Michigan St.","B10",2,"7.2","0.9428","122.5","96.0","56.3","43.4","17.6","37.1","24.3"
2016,"Champions","Villanova","BE",2,"8.9","0.9703","123.1","90.9","56.1","36.2","16.3","28.2","29.4"
2016,"F4","Oklahoma","B12",2,"8.0","0.9326","118.2","94.1","54.3","42.2","18.3","31.2","30.5"
2016,"R64","West Virginia","B12",3,"7.4","0.9396","114.8","90.4","49.8","32.5","20.0","42.0","27.1"
2016,"R32","Utah","P12",3,"5.6","0.8807","115.8","97.3","55.1","36.3","18.2","29.2","27.8"
2016,"S16","Miami FL","ACC",3,"6.9","0.9203","119.4","96.5","54.2","37.5","16.5","30.1","29.5"
2016,"S16","Texas A&M","SEC",3,"5.2","0.9126","113.0","92.2","51.2","34.1","17.4","34.8","29.2"
2016,"S16","Iowa St.","B12",3,"3.6","0.9162","121.4","98.6","57.1","38.7","15.7","26.2","30.1"
2016,"R32","Kentucky","SEC",4,"5.0","0.9517","123.2","95.1","53.5","36.6","16.2","37.5","31.9"
2016,"R64","California","P12",4,"2.2","0.9006","112.4","92.8","52.2","36.3","17.7","32.4","25.3"
2016,"S16","Duke","ACC",4,"4.2","0.9122","121.2","98.9","53.7","38.5","14.3","33.2","34.7"
2016,"R64","Baylor","B12",5,"3.5","0.8924","119.3","99.2","51.6","37.4","18.6","40.0","28.8"
2016,"S16","Maryland","B10",5,"4.0","0.8839","114.9","96.3","55.2","36.2","18.9","29.1","29.9"
2016,"R64","Purdue","B10",5,"4.4","0.9316","117.2","93.4","53.6","36.7","17.7","35.0","23.4"
2016,"S16","Indiana","B10",5,"3.2","0.9168","121.3","98.4","58.7","41.6","19.6","37.2","29.2"
2016,"R64","Arizona","P12",6,"3.4","0.9022","116.1","95.7","53.6","38.1","18.2","35.0","24.9"
2016,"R64","Seton Hall","BE",6,"5.3","0.9014","110.8","91.4","49.8","34.7","19.4","34.7","30.8"
